# mean, investigation_time=50.0, checksum=263994461
lon,lat,PGA-0.1,PGA-0.02,SA(0.075)-0.1,SA(0.075)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.3)-0.1,SA(0.3)-0.02,SA(0.4)-0.1,SA(0.4)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(0.75)-0.1,SA(0.75)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(1.5)-0.1,SA(1.5)-0.02,SA(2.0)-0.1,SA(2.0)-0.02,SA(2.5)-0.1,SA(2.5)-0.02,SA(3.0)-0.1,SA(3.0)-0.02
171.89798,-43.90129,3.733534E-01,7.100614E-01,6.308463E-01,1.206121E+00,7.475189E-01,1.424904E+00,9.250436E-01,1.727652E+00,8.476637E-01,1.568957E+00,7.738849E-01,1.414128E+00,7.216856E-01,1.300454E+00,6.011369E-01,1.052730E+00,4.960554E-01,8.669043E-01,3.475500E-01,5.995880E-01,2.565533E-01,4.368558E-01,1.983428E-01,3.406618E-01,1.617001E-01,2.820405E-01
171.91043,-43.90141,3.752453E-01,7.133497E-01,6.343539E-01,1.211694E+00,7.515976E-01,1.431464E+00,9.290984E-01,1.735713E+00,8.504869E-01,1.575944E+00,7.759093E-01,1.420157E+00,7.231440E-01,1.305183E+00,6.014755E-01,1.055199E+00,4.960128E-01,8.682078E-01,3.471714E-01,5.994484E-01,2.562086E-01,4.365358E-01,1.980093E-01,3.402395E-01,1.614307E-01,2.815937E-01
171.92288,-43.90153,3.773072E-01,7.173581E-01,6.381386E-01,1.218399E+00,7.560139E-01,1.439316E+00,9.335227E-01,1.745282E+00,8.536354E-01,1.584239E+00,7.782389E-01,1.427332E+00,7.249554E-01,1.311089E+00,6.025911E-01,1.059554E+00,4.968269E-01,8.713025E-01,3.472888E-01,6.003304E-01,2.561856E-01,4.368811E-01,1.979415E-01,3.403240E-01,1.613636E-01,2.815580E-01
171.93533,-43.90165,3.794183E-01,7.213709E-01,6.420012E-01,1.225133E+00,7.605703E-01,1.447206E+00,9.380585E-01,1.754896E+00,8.568823E-01,1.592578E+00,7.806358E-01,1.434508E+00,7.267660E-01,1.316915E+00,6.033931E-01,1.063229E+00,4.972487E-01,8.736624E-01,3.471648E-01,6.007591E-01,2.560018E-01,4.369389E-01,1.977367E-01,3.401832E-01,1.611898E-01,2.813345E-01
171.94778,-43.90176,3.815474E-01,7.251287E-01,6.458830E-01,1.231458E+00,7.651555E-01,1.454640E+00,9.426463E-01,1.764099E+00,8.601996E-01,1.600669E+00,7.831081E-01,1.441571E+00,7.286791E-01,1.322798E+00,6.044954E-01,1.067464E+00,4.980214E-01,8.766454E-01,3.472486E-01,6.015443E-01,2.559544E-01,4.372310E-01,1.976458E-01,3.402151E-01,1.611031E-01,2.812518E-01
171.96023,-43.90188,3.836277E-01,7.283425E-01,6.496721E-01,1.236925E+00,7.696409E-01,1.461100E+00,9.471437E-01,1.772276E+00,8.634619E-01,1.607848E+00,7.855361E-01,1.447955E+00,7.305170E-01,1.328112E+00,6.053091E-01,1.070849E+00,4.984501E-01,8.788193E-01,3.471311E-01,6.018855E-01,2.557763E-01,4.372146E-01,1.974456E-01,3.400104E-01,1.609320E-01,2.809761E-01
171.97268,-43.90199,3.856912E-01,7.311825E-01,6.534208E-01,1.241790E+00,7.740863E-01,1.466887E+00,9.516146E-01,1.779774E+00,8.667230E-01,1.614551E+00,7.879645E-01,1.453973E+00,7.323282E-01,1.333137E+00,6.058962E-01,1.073658E+00,4.985954E-01,8.804133E-01,3.468474E-01,6.019083E-01,2.554891E-01,4.369706E-01,1.971545E-01,3.396272E-01,1.606909E-01,2.805539E-01
171.98513,-43.90210,3.877846E-01,7.339301E-01,6.572030E-01,1.246513E+00,7.785779E-01,1.472524E+00,9.561543E-01,1.787150E+00,8.700640E-01,1.621199E+00,7.904671E-01,1.459970E+00,7.342066E-01,1.338191E+00,6.065370E-01,1.076529E+00,4.987873E-01,8.820683E-01,3.465886E-01,6.019798E-01,2.552174E-01,4.367538E-01,1.968752E-01,3.392610E-01,1.604579E-01,2.801453E-01
171.99758,-43.90221,3.899864E-01,7.370911E-01,6.611565E-01,1.251886E+00,7.832764E-01,1.478913E+00,9.609206E-01,1.795316E+00,8.735989E-01,1.628532E+00,7.931350E-01,1.466494E+00,7.362275E-01,1.343714E+00,6.072929E-01,1.079755E+00,4.990768E-01,8.839946E-01,3.463770E-01,6.021886E-01,2.549733E-01,4.366326E-01,1.966162E-01,3.389631E-01,1.602393E-01,2.797891E-01
172.01003,-43.90232,3.923409E-01,7.411420E-01,6.653652E-01,1.258627E+00,7.882790E-01,1.486860E+00,9.660116E-01,1.805056E+00,8.774022E-01,1.637402E+00,7.960219E-01,1.474332E+00,7.384015E-01,1.350316E+00,6.079257E-01,1.083248E+00,4.991553E-01,8.859167E-01,3.460348E-01,6.023502E-01,2.546385E-01,4.364628E-01,1.962779E-01,3.386185E-01,1.599536E-01,2.793854E-01
